t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob	t_current_shunt	Current_shunt	t_diff_press	Diff_press
5159.340261459351	19.988162032434214	5156.263266086578	19.836134888423583	5157.807373285294	19.947955203197584	5154.733251571655	19.913974516404817	5160.876807689667	25.0751484210434	5148.550530433655	1.815266	5150.105246543884	-4.67008833e-06	5151.643278121948	-0.02079924096	5153.199539422989	29.21230022222223
5173.206828832626	19.96444729465823	5170.116730928421	19.82010804952643	5171.6658573150635	19.9314012240243	5168.586218118668	19.888585905496694	5174.749980211258	24.864509831445744	5162.416387796402	1.78523632	5163.969581127167	-5.11451233e-06	5165.504704713821	-0.0206555654	5167.049232006073	29.336891111111118
5187.143820285797	19.97570880171373	5184.042103290558	19.809015879677204	5185.583419561386	19.929625094977556	5182.495039701462	19.89719123467443	5188.688989162445	24.884994712001742	5176.294673919678	1.80967131	5177.838361024857	-4.83169176e-06	5179.400047779083	-0.022774469159999998	5180.951808691025	29.387553333333337
5201.019762992859	19.96136356274591	5197.931234836578	19.81372406993306	5199.4696362018585	19.927169401567635	5196.399411201477	19.900009905937413	5202.548611879349	25.040070407853552	5190.227550506592	1.80531543	5191.76869392395	-5.4826202e-06	5193.308190584183	-0.02180478312	5194.852232217789	29.61266266666667
5214.885142803192	19.956300364856027	5211.809575796127	19.800613718665364	5213.350151062012	19.91964528727259	5210.2720193862915	19.880232819202114	5216.412546157837	25.024400919620145	5204.096832275391	1.81598497	5205.643913507462	-4.79128963e-06	5207.201253414154	-0.0171899064	5208.7374885082245	29.466356888888892
5228.772013664246	19.95549725368595	5225.690046072006	19.79943473791148	5227.235299110413	19.92800083679981	5224.144285202026	19.8763226923329	5230.301301717758	24.879844460132922	5217.950309038162	1.82177838	5219.501633405685	-5.4287524e-06	5221.049964189529	-0.02044007688	5222.5986177921295	29.964234666666673
5242.607612133026	19.95313425196977	5239.532233476639	19.77140942149355	5241.06267952919	19.893438150561398	5238.008131027222	19.875161751881862	5244.157840251923	25.09979599447795	5231.847043514252	1.84501185	5233.382129907608	-5.35692826e-06	5234.933022975922	-0.02036826444	5236.473195552826	29.995530666666674
5256.473966360092	19.932302158593473	5253.40118765831	19.768315225672627	5254.928124427795	19.887648919386823	5251.874119520187	19.860504523645574	5258.006492853165	24.980961767903224	5245.702892065048	1.81511359	5247.244338274002	-4.42766241e-06	5248.78842997551	-0.020350298	5250.338788986206	29.56160688888889
5270.345023870468	19.938799174719215	5267.2558579444885	19.766835056663485	5268.805091381073	19.89501866802044	5265.718022584915	19.838006312778678	5271.871787309647	25.314992260108617	5259.559494256973	1.80550103	5261.10124540329	-5.09206089e-06	5262.644536972046	-0.021284038159999998	5264.185937166214	29.65172266666667
5284.266400337219	19.919719936472067	5281.164359807968	19.7696357936003	5282.720455646515	19.88180819489286	5279.6270570755005	19.865014446465363	5285.812927007675	25.226960572986524	5273.414766788483	1.81589666	5274.9719405174255	-4.82719673e-06	5276.520660638809	-0.019201058839999997	5278.076154470444	29.800324222222226
5298.155302524567	19.92293499835867	5295.067541599274	19.75067674163161	5296.610892534256	19.885059335474065	5293.540887594223	19.83089901455319	5299.70129942894	25.129159775762812	5287.356398105621	1.78595293	5288.8973796367645	-4.61171891e-06	5290.451169967651	-0.01808774076	5291.995947122574	29.940332222222224
5312.012751817703	19.90170110743628	5308.917775392532	19.734456617049062	5310.467445135117	19.852305819973502	5307.389771223068	19.853294298846233	5313.560754537582	24.949756333907185	5301.25031542778	1.80376224	5302.794079065323	-5.11002028e-06	5304.324709892273	-0.01977568668	5305.853190898895	29.881081777777784
5325.895650148392	19.91010046987455	5322.826643228531	19.755238244574908	5324.359668016434	19.87497641323656	5321.2862637043	19.834994529023298	5327.439623832703	25.027267711813035	5315.098410606384	1.81509845	5316.645128965378	-4.21218459e-06	5318.199555873871	-0.0181057126	5319.740818977356	30.058942444444448
5339.767538785934	19.884812218014037	5336.688771247864	19.744874465452966	5338.2291078567505	19.851847618743218	5335.1404802799225	19.836551904651568	5341.314638853073	25.151879873398464	5328.97420167923	1.84576934	5330.530621051788	-5.32549835e-06	5332.069574832916	-0.019703843920000002	5333.601823568344	30.07297866666667
5353.67036318779	19.88194719859421	5350.59756731987	19.72601575901787	5352.132128953934	19.83964091246089	5349.061049461365	19.828875710575748	5355.215024471283	25.265295289210414	5342.869524478912	1.83638386	5344.419559240341	-5.34345642e-06	5345.968840122223	-0.01945244736	5347.512626171112	30.30541155555556
5367.54823923111	19.887314281423887	5364.484722137451	19.74278162941499	5366.016319513321	19.855829848950986	5362.934337377548	19.82228838253384	5369.0925006866455	24.992325370463746	5356.753776311874	1.80636273	5358.307098388672	-4.37379003e-06	5359.845758199692	-0.0199731946	5361.401902675629	30.181676222222226
5381.4600949287415	19.889664468837136	5378.369888782501	19.730999444095303	5379.91713142395	19.8488667352606	5376.81570649147	19.810843553836786	5382.984139680862	24.960704552817777	5370.636262893677	1.83049824	5372.181275606155	-4.48602185e-06	5373.723325967789	-0.0193267604	5375.274898529053	30.566791111111115
5395.3270354270935	19.87994966336124	5392.261507034302	19.73035331561043	5393.78760266304	19.855788662363874	5390.698773622513	19.80258812472851	5396.866072177887	24.976909261766266	5384.517307281494	1.80598463	5386.072556734085	-5.59934154e-06	5387.6191465854645	-0.02155339788	5389.166885375977	30.398236888888896
5409.212200641632	19.880691016784283	5406.122117996216	19.717289157503735	5407.661331653595	19.843880571927883	5404.5795023441315	19.798680499000064	5410.755510091782	25.20038186294836	5398.414347171783	1.82558279	5399.950745582581	-5.43773361e-06	5401.4989495277405	-0.019111283	5403.046441316605	30.267671555555555
5423.12260222435	19.867161291304544	5420.037994861603	19.7091983839831	5421.571686029434	19.82395645243322	5418.500994920731	19.81419514613318	5424.663602352142	25.222592637435024	5412.3043439388275	1.81269722	5413.853838682175	-4.15830876e-06	5415.404458284378	-0.02004502288	5416.94850230217	30.427595333333336
5437.017652750015	19.866334987868314	5433.948816537857	19.693704145778206	5435.479948997498	19.82083139506396	5432.403381347656	19.78853301561977	5438.574008703232	25.16903366234879	5426.215499162674	1.79174218	5427.760763168335	-4.65661146e-06	5429.303512573242	-0.02072738668	5430.858589887619	30.52974266666667
5450.893474340439	19.865650262757285	5447.830166101456	19.715103645055105	5449.370379686356	19.831918388723498	5446.28857922554	19.800688370276614	5452.440442800522	25.047884615308817	5440.115025997162	1.81569127	5441.66511797905	-5.66218767e-06	5443.2077894210815	-0.02180478008	5444.757847070694	30.501631111111113
