t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob
285.03300738334656	19.540458748984424	286.5845572948456	19.327060594920457	288.13179659843445	20.095296098119483	289.6833186149597	20.19884595923741	291.23281741142273	24.138876264519627	278.82161474227905	3.23450561	280.37256383895874	0.0174028244
298.9450640678406	19.541153779377687	300.493616104126	19.343091453695774	302.03717064857483	20.174461251065804	303.5834000110626	20.26237849467557	305.1320297718048	23.944280705462376	292.77047848701477	3.23346533	294.30106258392334	0.0228827954
312.82232189178467	19.58270388625479	314.3688380718231	19.36229364559554	315.9039113521576	20.451335213502425	317.45539712905884	20.510389493983755	318.9987208843231	23.85830376296971	306.6656324863434	3.23665162	308.2038450241089	0.0328165654
326.71830892562866	19.585854714137156	328.2631404399872	19.36009284921565	329.7973563671112	20.4921717528567	331.34968852996826	20.518067323877546	332.8972280025482	23.740727239296987	320.5500614643097	3.22417926	322.0925693511963	0.0328188102
340.6149079799652	19.602355394273207	342.15093302726746	19.357184197862075	343.68921399116516	20.519359403901344	345.22588443756104	20.46233320201375	346.76628589630127	23.656061289529635	334.43103432655334	3.21545357	335.97093081474304	0.0328147793
354.49315881729126	19.607290159280776	356.02916526794434	19.381364733600435	357.58011269569397	20.54384465755832	359.11678886413574	20.471871843095006	360.65924525260925	24.069717381527603	348.3110101222992	3.218175	349.86211109161377	0.0328147751
368.36752223968506	19.622434265456356	369.9133915901184	19.390162868781676	371.4517197608948	20.57383565323165	372.9963138103485	20.513568211687915	374.53735399246216	23.95867779984514	362.21660923957825	3.22451049	363.75914883613586	0.0328102855
382.2913317680359	19.651363340293553	383.82603645324707	19.414191879294712	385.36919689178467	20.585500609310635	386.90681552886963	20.552330754376822	388.4476134777069	24.031045897537798	376.09169340133667	3.20405617	377.63411378860474	0.0328058023
396.1700930595398	19.651577000649013	397.70869874954224	19.42495674466314	399.2584767341614	20.599729240621453	400.7957091331482	20.58824697685859	402.3339743614197	24.13789694276576	389.9999568462372	3.21378715	391.5425691604614	0.0328107336
410.05223321914673	19.684048238301617	411.59687328338623	19.458901612030736	413.13883781433105	20.62864488600888	414.6690661907196	20.64195998795153	416.2053484916687	24.077157805667714	403.86804032325745	3.20385428	405.40274357795715	0.0328058044
423.9394314289093	19.699774160671833	425.4666678905487	19.45445351704318	426.9976661205292	20.62861399855544	428.53699469566345	20.65446693258624	430.09523463249207	23.648658676331067	417.75823068618774	3.18415748	419.3056914806366	0.0328084931
437.8273961544037	19.695276995367305	439.3743679523468	19.459733056429524	440.9094648361206	20.637386050593502	442.4754264354706	20.665221053895415	444.0291154384613	23.875923076105444	431.6376864910126	3.21350487	433.1865894794464	0.0328040077
451.73952746391296	19.709641149913097	453.2792992591858	19.47837239810827	454.8121325969696	20.655179925667667	456.3529450893402	20.70576441367655	457.8951966762543	23.907447381481358	445.572466135025	3.21207315	447.12232661247253	0.0328031094
465.62371802330017	19.734423152237397	467.16162037849426	19.49402839242419	468.7171206474304	20.68494823189126	470.2578158378601	20.734629949714392	471.79704189300537	23.93930897170413	459.4409911632538	3.21012186	460.9944920539856	0.0327995224
479.52219581604004	19.760729034705804	481.0706715583801	19.499848568148714	482.61509466171265	20.683751314214103	484.1518876552582	20.714948621528603	485.69859790802	24.23381789967617	473.33530139923096	3.22422331	474.8899850845337	0.0327968358
493.4344177246094	19.760021127133893	494.99303340911865	19.51678401655255	496.5569398403168	20.69674756015476	498.101722240448	20.776698668531843	499.64080023765564	24.002667500882204	487.2445285320282	3.21191345	488.7889666557312	0.0327995224
507.3650572299957	19.770966658112464	508.9074537754059	19.544713881029182	510.4555416107178	20.721566529049667	511.9865617752075	20.781646180287996	513.5215129852295	23.7675512146543	501.18648886680603	3.22368647	502.7288091182709	0.0327968337
521.2552897930145	19.79087296198038	522.7919435501099	19.558931144248604	524.3523485660553	20.733772780595448	525.8980631828308	20.79050385949385	527.4320116043091	24.03497879379432	515.0643563270569	3.21369042	516.612847328186	0.0327914585
535.1551516056061	19.79227589967652	536.7046589851379	19.565034565017484	538.2427053451538	20.75299869185162	539.7896518707275	20.794676587094525	541.3394601345062	24.04980570225975	528.9799270629883	3.21332297	530.5266525745392	0.0327954894
549.0873992443085	19.801344789572976	550.6363124847412	19.559631325468718	552.1813788414001	20.769220797451386	553.729165315628	20.825590125454188	555.29399061203	24.212033532804185	542.8780825138092	3.2145154	544.4357678890228	0.0327936969
562.9934272766113	19.835488770606762	564.5327973365784	19.579877409492173	566.0792324542999	20.77280656762934	567.6213178634644	20.84694088985878	569.1590521335602	24.07808817940059	556.8369431495667	3.20692616	558.3717823028564	0.0327932488
576.8844246864319	19.825508683601452	578.4212193489075	19.59680539578685	579.9553680419922	20.784101922635127	581.4910020828247	20.883483001994893	583.0400547981262	23.943819357853297	570.7027635574341	3.19436467	572.2491216659546	0.0327963856
590.7880067825317	19.844009280403803	592.324376821518	19.611815626772742	593.8570966720581	20.815622764844466	595.4063053131104	20.901009149916725	596.9547693729401	24.052712827510778	584.5991215705872	3.21335303	586.1462788581848	0.0327927965
604.665937423706	19.852408786534607	606.2080729007721	19.61403974805775	607.7364301681519	20.830908480756857	609.2636516094208	20.92181017440672	610.8084578514099	24.097528023406785	598.488630771637	3.20397469	600.0377292633057	0.0327936948
618.514404296875	19.872466618092975	620.0488920211792	19.633112120419824	621.5915818214417	20.84288128593178	623.1339776515961	20.94005512025324	624.6795389652252	24.09706670553864	612.3472571372986	3.19392238	613.8985466957092	0.0327919024
